Identifiant;Chaine;startDate;endDate;referenceDate;DureeSecondes;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;NatureProduction;Producteurs;Descripteurs;Generiques;Genres;Thematique;IdentifiantMediametrie;IdentifiantImedia
"5028496_001";"France 2";"2013-06-07T05:14:49+01:00";"2013-06-07T05:15:35+01:00";"2013-06-07";"46";"[Interprogrammes F2 de 5 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 5 heures]";"";"Production propre";"";"";"";"Interprogrammes";"";"242";""
"5028497_001";"France 2";"2013-06-07T05:15:35+01:00";"2013-06-07T05:28:00+01:00";"2013-06-07";"745";"JT nuit : [émission du 7 juin 2013]";"JT nuit";"";"";"Production propre";"";"";"";"Journal télévisé";"";"9281";""
"5028498_001";"France 2";"2013-06-07T05:28:00+01:00";"2013-06-07T05:30:50+01:00";"2013-06-07";"170";"Météo 2 : [émission du 07 Juin 2013]";"Météo 2";"";"";"Production propre";"";"";"";"Message info";"Informations pratiques";"46932";"52217038"
"5028499_001";"France 2";"2013-06-07T05:30:50+01:00";"2013-06-07T05:31:28+01:00";"2013-06-07";"38";"[Interprogrammes F2 de 5 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 5 heures]";"";"Production propre";"";"";"";"Interprogrammes";"";"242";""
"5028500_001";"France 2";"2013-06-07T05:31:28+01:00";"2013-06-07T05:51:24+01:00";"2013-06-07";"1196";"Les rhinoceros en danger";"";"";"";"Achat de droits de diffusion";"";"";"";"Documentaire";"Faune";"18037";"1127129"
"5028501_001";"France 2";"2013-06-07T05:51:24+01:00";"2013-06-07T05:52:37+01:00";"2013-06-07";"73";"[Interprogrammes F2 de 5 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 5 heures]";"";"Production propre";"";"";"";"Interprogrammes";"";"242";""
"5028502_001";"France 2";"2013-06-07T05:52:37+01:00";"2013-06-07T05:54:33+01:00";"2013-06-07";"116";"Thierry Cohen : Si un jour la vie t'arrache à moi";"Dans quelle étagère";"";"";"Production propre";"France 2, 2013 (Producteur)";"";"Bonnefoy, Stephan (Réalisateur)";"Magazine";"Littérature";"16643";"52215569"
"5028503_001";"France 2";"2013-06-07T05:54:33+01:00";"2013-06-07T06:21:17+01:00";"2013-06-07";"1604";"Les Z'amours : [émission du 06 juin 2013]";"Les Z'amours";"";"";"Coproduction";"";"";"";"Jeu";"";"49438";"52215744"
"5028504_001";"France 2";"2013-06-07T06:21:17+01:00";"2013-06-07T06:21:27+01:00";"2013-06-07";"10";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"Production propre";"";"";"";"Interprogrammes";"";"39069";""
"5028505_001";"France 2";"2013-06-07T06:21:27+01:00";"2013-06-07T06:23:06+01:00";"2013-06-07";"99";"Chico & the Gypsies : Amor de mis amore";"";"";"";"Pré achat droits de diffusion";"";"";"";"Vidéo clip";"Variétés";"115983";""
"5028506_001";"France 2";"2013-06-07T06:23:06+01:00";"2013-06-07T06:27:19+01:00";"2013-06-07";"253";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"12045";""
"5028507_001";"France 2";"2013-06-07T06:27:19+01:00";"2013-06-07T06:28:41+01:00";"2013-06-07";"82";"Point route : [émission du 07 juin 2013]";"Point route";"";"";"Production propre";"";"";"";"Message info";"";"42752";"52217375"
"5028508_001";"France 2";"2013-06-07T06:28:41+01:00";"2013-06-07T06:30:02+01:00";"2013-06-07";"81";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"Production propre";"";"";"";"Interprogrammes";"";"242";""
"5028509_001";"France 2";"2013-06-07T06:30:02+01:00";"2013-06-07T08:59:35+01:00";"2013-06-07";"8973";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"Production propre";"France Télévisions, 2013 (Producteur)";"";"Leymergie, William (Présentateur)";"Tranche horaire";"";"12";"52217372"
"5028510_001";"France 2";"2013-06-07T06:32:13+01:00";"2013-06-07T06:36:26+01:00";"2013-06-07";"253";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"Production propre";"";"";"Boussie, Laurent (Rédacteur en chef)|Leprestre, Brigitte (Scripte)|Didelot, Jean François (Réalisateur)|Vannier, Emmanuel (Rédacteur en chef)|Forge, Jacques (Responsable d'édition)|Gastrin, Sophie (Présentateur)";"Journal télévisé";"";"46939";"52217376"
"5028511_001";"France 2";"2013-06-07T06:53:13+01:00";"2013-06-07T06:55:33+01:00";"2013-06-07";"140";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"242";""
"5028512_001";"France 2";"2013-06-07T06:55:33+01:00";"2013-06-07T06:57:37+01:00";"2013-06-07";"124";"Point route : [émission du 7 juin 2013]";"Point route";"Télématin";"";"Production propre";"";"";"";"Message info";"";"42752";""
"5028513_001";"France 2";"2013-06-07T06:57:41+01:00";"2013-06-07T07:00:04+01:00";"2013-06-07";"143";"Météo 2 : [émission du 7 juin 2013]";"Météo 2";"Télématin";"";"Production propre";"";"";"";"Message info";"Informations pratiques";"46932";"52217377"
"5028514_001";"France 2";"2013-06-07T07:00:04+01:00";"2013-06-07T07:10:56+01:00";"2013-06-07";"652";"7h00 le journal : [émission du 7 juin 2013]";"7h00 le journal";"Télématin";"";"Production propre";"";"";"Boussie, Laurent (Rédacteur en chef)|Vannier, Emmanuel (Rédacteur en chef)|Rincquesen, Nathanaël de (Présentateur)|Forge, Jacques (Responsable d'édition)";"Journal télévisé";"";"46939";"52217378"
"5028515_001";"France 2";"2013-06-07T07:24:01+01:00";"2013-06-07T07:25:35+01:00";"2013-06-07";"94";"Météo 2 : [émission du 7 juin 2013]";"Météo 2";"Télématin";"";"Production propre";"";"";"";"Message info";"Informations pratiques";"46932";""
"5028516_001";"France 2";"2013-06-07T07:25:41+01:00";"2013-06-07T07:30:01+01:00";"2013-06-07";"260";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 7 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"2706";""
"5028517_001";"France 2";"2013-06-07T07:30:08+01:00";"2013-06-07T07:38:53+01:00";"2013-06-07";"525";"7h30 le journal : [émission du 7 juin 2013]";"7h30 le journal";"Télématin";"";"Production propre";"";"";"Boussie, Laurent (Rédacteur en chef)|Vannier, Emmanuel (Rédacteur en chef)|Forge, Jacques (Responsable d'édition)|Gastrin, Sophie (Présentateur)";"Journal télévisé";"";"46939";""
"5028518_001";"France 2";"2013-06-07T07:44:42+01:00";"2013-06-07T07:48:56+01:00";"2013-06-07";"254";"[Interprogrammes F2 de 7 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 7 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"2707";""
"5028519_001";"France 2";"2013-06-07T07:49:13+01:00";"2013-06-07T07:58:23+01:00";"2013-06-07";"550";"Frédéric Saldmann";"Les 4 vérités";"Télématin";"Roland SICARD reçoit Frédéric SALDMANN médecin cardiologue et nutritionniste, auteur de ""Le meilleur médicament, c'est vous !"".";"Production propre";"France Télévisions, 2013 (Producteur)";"conseil|médecin|santé|livre";"Saldmann, Frédéric (Participant)";"Magazine|Interview entretien";"Information";"508";""
"5028520_001";"France 2";"2013-06-07T07:58:26+01:00";"2013-06-07T08:00:18+01:00";"2013-06-07";"112";"Météo 2 : [émission du 7 juin 2013]";"Météo 2";"Télématin";"";"Production propre";"";"";"";"Message info";"Informations pratiques";"46932";""
"5028521_001";"France 2";"2013-06-07T08:00:18+01:00";"2013-06-07T08:11:27+01:00";"2013-06-07";"669";"8h00 le journal : [émission du 7 juin 2013]";"8h00 le journal";"Télématin";"";"Production propre";"";"";"Boussie, Laurent (Rédacteur en chef)|Vannier, Emmanuel (Rédacteur en chef)|Rincquesen, Nathanaël de (Présentateur)|Forge, Jacques (Responsable d'édition)";"Journal télévisé";"";"46939";"52217379"
"5028522_001";"France 2";"2013-06-07T08:12:56+01:00";"2013-06-07T08:16:11+01:00";"2013-06-07";"195";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"39065";""
"5028523_001";"France 2";"2013-06-07T08:34:29+01:00";"2013-06-07T08:38:53+01:00";"2013-06-07";"264";"[Interprogrammes F2 de 8 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 8 heures]";"";"Mixte";"";"";"";"Interprogrammes";"";"49537";""
"5028524_001";"France 2";"2013-06-07T08:50:07+01:00";"2013-06-07T08:52:45+01:00";"2013-06-07";"158";"Météo 2 : [émission du 7 juin 2013]";"Météo 2";"Télématin";"";"Production propre";"";"";"";"Message info";"Informations pratiques";"46932";""
