Identifiant;Chaine;startDate;endDate;referenceDate;DureeSecondes;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;NatureProduction;Producteurs;Descripteurs;Generiques;Genres;Thematique;IdentifiantMediametrie;IdentifiantImedia
"5671704_001";"France Culture";"2013-06-07T00:00:00+01:00";"2013-06-07T00:34:57+01:00";"2013-06-07";"2097";"Alban Lefranc";"Du jour au lendemain";"";"Alain VEINSTEIN reçoit Alban LEFRANC à l'occasion de la parution de son roman ""Le ring invisible"".";"Production propre";"Radio France, 2013 (Producteur)";"littérature|roman|livre";"Veinstein, Alain (Présentateur)|Veinstein, Alain (Producteur)|Noël, Viviane (Réalisateur)|Lefranc, Alban (Participant)";"Magazine|Interview entretien";"";"0";""
"5671705_001";"France Culture";"2013-06-07T00:35:10+01:00";"2013-06-07T01:30:05+01:00";"2013-06-07";"3295";"Les poèmes japonais médiévaux sur les divinités : 4ème émission";"L'éloge du savoir. Cours du Collège de France";"";"Retransmission du quatrième volet du cours sur la poésie médiévale japonaise donné au Collège de France par Jean-Noël ROBERT, titulaire de la chaire de Philologie de la civilisation japonaise.";"Production propre";"Radio France, 2013 (Producteur)";"religion|poésie|cours|Japon|dieu";"Goémé, Christine (Présentateur)|Goémé, Christine (Producteur)|Depelchin, Anne (Réalisateur)|Robert, Jean Noël (Participant)";"Retransmission";"";"0";""
"5671706_001";"France Culture";"2013-06-07T01:30:00+01:00";"2013-06-07T06:00:00+01:00";"2013-06-07";"16200";"Les nuits de France Culture : émission du 07 juin 2013";"";"Les nuits de France Culture";"";"Production propre";"Radio France, 2013 (Producteur)";"";"Garbit, Philippe (Présentateur)|Garbit, Philippe (Producteur)|Huttin, Geneviève (Producteur)|Goémé, Christine (Producteur)|Floriot, Marc (Producteur)|Mourthé, Virginie (Réalisateur)";"Tranche horaire";"";"0";""
"5671707_001";"France Culture";"2013-06-07T01:31:00+01:00";"2013-06-07T02:31:01+01:00";"2013-06-07";"3601";"Le sexe sous tous ses rapports : les oeuvres érotiques de Pierre Louÿs";"Les nouveaux chemins de la connaissance";"Les nuits de France Culture";"";"Production propre";"";"";"";"Magazine|Interview entretien";"";"0";""
"5671708_001";"France Culture";"2013-06-07T02:31:00+01:00";"2013-06-07T05:01:01+01:00";"2013-06-07";"9001";"Colloque à cerisy-la-salle sur l'astronomie : 4ème partie";"Colloque à cerisy-la-salle sur l'astronomie";"Les nuits de France Culture";"";"Production propre";"";"";"";"Documentaire";"";"0";""
"5671709_001";"France Culture";"2013-06-07T05:02:00+01:00";"2013-06-07T05:58:27+01:00";"2013-06-07";"3387";"Le corps : le troisième sexe";"";"Les nuits de France Culture";"";"Production propre";"";"";"";"Documentaire|Série";"";"0";""
"5671710_001";"France Culture";"2013-06-07T06:00:10+01:00";"2013-06-07T06:29:31+01:00";"2013-06-07";"1761";"Un autre jour est possible : émission du 07 juin 2013";"Un autre jour est possible";"";"Après la diffusion du 10ème épisode de la série consacrée à l'histoire de la Nouvelle Vague, entretien avec le dessinateur Marc JAILLOUX pour évoquer la bande dessinée des aventures d'Alix à l'occasion de la sortie de l'album ""La dernière Conquête"".";"Production propre";"Radio France, 2013 (Producteur)";"cinéma|bande dessinée|courant artistique|dessinateur";"Douchet, Jean (Participant)|Davidas, Gilles (Réalisateur)|Jailloux, Marc (Participant)|Hakem, Tewfik (Présentateur)|Hakem, Tewfik (Producteur)";"Magazine|Interview entretien";"";"0";""
"5671711_001";"France Culture";"2013-06-07T06:29:00+01:00";"2013-06-07T06:30:00+01:00";"2013-06-07";"60";"Interprogrammes : émission du 07 juin 2013";"Interprogrammes";"";"";"Production propre";"Radio France, 2013 (Producteur)";"";"";"Interprogrammes";"";"0";""
"5671712_001";"France Culture";"2013-06-07T06:30:00+01:00";"2013-06-07T09:01:25+01:00";"2013-06-07";"9085";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"Marc VOINCHET reçoit Béatrice GIBLIN, universitaire spécialiste de géopolitique, le politologue Gaël BRUSTIER et le journaliste Eric DUPIN pour parler de la violence d'extrême droite dont vient d'être victime le jeune militant antifaciste Clément Méric.";"Production propre";"Radio France, 2013 (Producteur)";"décès|extrême gauche|bagarre|fanatisme|extrême droite|bande de jeunes|courant politique|militant|société|Méric, Clément|skinhead|idéologie politique";"Dupin, Eric (Participant)|Voinchet, Marc (Présentateur)|Voinchet, Marc (Producteur)|Baudouin, Philippe (Réalisateur)|Giblin, Béatrice (Participant)|Brustier, Gaël (Participant)|Reynaud, Luc Jean (Réalisateur)";"Tranche horaire|Interview entretien";"";"0";""
"5671713_001";"France Culture";"2013-06-07T06:30:30+01:00";"2013-06-07T06:35:30+01:00";"2013-06-07";"300";"Journal 06h30 : émission du 07 juin 2013";"Journal 06h30";"Les matins de France Culture";"";"Production propre";"Radio France, 2013 (Producteur)";"";"";"Journal parlé";"";"0";""
