Identifiant;Chaine;startDate;endDate;referenceDate;DureeSecondes;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;NatureProduction;Producteurs;Descripteurs;Generiques;Genres;Thematique;IdentifiantMediametrie;IdentifiantImedia
"404190_002";"France 24";"2013-06-07T05:00:00+01:00";"2013-06-07T05:10:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998136"
"404190_003";"France 24";"2013-06-07T05:10:00+01:00";"2013-06-07T05:22:00+01:00";"2013-06-07";"720";"Une semaine en France : [émission du 07 juin 2013]";"Une semaine en France";"";"";"Production propre";"";"";"Fayolle, Valérie (Présentateur)";"Magazine|Reportage";"Information";"0";"52998137"
"404190_004";"France 24";"2013-06-07T05:22:00+01:00";"2013-06-07T05:28:00+01:00";"2013-06-07";"360";"Sur le Net : [émission du 07 juin 2013]";"Sur le Net";"";"";"Achat de droits commande";"";"";"";"Magazine|Reportage";"Media";"0";"52998138"
"404190_006";"France 24";"2013-06-07T05:30:00+01:00";"2013-06-07T05:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998140"
"404190_007";"France 24";"2013-06-07T05:40:00+01:00";"2013-06-07T05:58:00+01:00";"2013-06-07";"1080";"Le duel de l'éco : [émission du 07 juin 2013]";"Le duel de l'éco";"";"";"";"";"";"Maris, Bernard (Présentateur)|Manière, Philippe (Présentateur)|Antoine, Stéphanie (Présentateur)";"Débat";"Arts";"0";"52998141"
"404190_009";"France 24";"2013-06-07T06:00:00+01:00";"2013-06-07T06:12:00+01:00";"2013-06-07";"720";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998143"
"404190_010";"France 24";"2013-06-07T06:12:00+01:00";"2013-06-07T06:17:00+01:00";"2013-06-07";"300";"Sports : [émission du 07 juin 2013]";"Sports";"";"";"Achat de droits de diffusion";"";"";"Perrochais, Benoît (Présentateur)";"Magazine|Reportage";"Sports";"0";"52998144"
"404190_011";"France 24";"2013-06-07T06:17:00+01:00";"2013-06-07T06:20:00+01:00";"2013-06-07";"180";"Rappel des titres : [émission du 07 juin 2013]";"Rappel des titres";"";"";"Production propre";"";"";"";"Message info";"Information";"0";"52998145"
"404190_012";"France 24";"2013-06-07T06:20:00+01:00";"2013-06-07T06:23:00+01:00";"2013-06-07";"180";"Journal de l'économie : [émission du 07 juin 2013]";"Journal de l'économie";"";"";"Production propre";"";"";"";"Magazine|Reportage";"Economie";"0";"52998146"
"404190_015";"France 24";"2013-06-07T06:30:00+01:00";"2013-06-07T06:40:00+01:00";"2013-06-07";"600";"Le journal : [émission du 07 juin 2013]";"Le journal";"";"";"Production propre";"";"";"";"Journal télévisé";"";"0";"52998149"
