Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
"5028503_001_003";"France 2";"2013-06-07T06:17:32+01:00";"29";"Bande annonce émission : QUADRILLE";"Les Z'amours : [émission du 06 juin 2013]";"Les Z'amours";"";"";"";""
"5028503_001_002";"France 2";"2013-06-07T06:18:01+01:00";"196";"[Plateau : 2ème partie]";"Les Z'amours : [émission du 06 juin 2013]";"Les Z'amours";"";"";"";""
"5028504_001_001";"France 2";"2013-06-07T06:21:17+01:00";"10";"Bande annonce programme : BIENTOT SUR FRANCE 2";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028506_001_001";"France 2";"2013-06-07T06:23:06+01:00";"26";"Message d'intérêt général : WWW.DONDUSANG.NET";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028506_001_002";"France 2";"2013-06-07T06:23:32+01:00";"227";"Pub 2 06h30";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028508_001_001";"France 2";"2013-06-07T06:28:41+01:00";"37";"Bande annonce émission : LES ANNEES BONHEUR";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028508_001_002";"France 2";"2013-06-07T06:29:18+01:00";"44";"Bande annonce émission (sponsor) : TENNIS ROLAND GARROS";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028509_001_001";"France 2";"2013-06-07T06:30:02+01:00";"131";"[Plateau : 1ère partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_002";"France 2";"2013-06-07T06:32:13+01:00";"253";"6h30 le journal : [émission du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028510_001_001";"France 2";"2013-06-07T06:32:17+01:00";"18";"Plateau lancement : PLT MIXé/DIREC. POLICE JUDICIAIRE 7 GARDéS A VUE";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";""
"5028510_001_002";"France 2";"2013-06-07T06:32:35+01:00";"46";"PLT MIXé/DIREC. POLICE JUDICIAIRE 7 GARDéS A VUE";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Zephirin, Laura (Journaliste)"
"5028510_001_003";"France 2";"2013-06-07T06:33:21+01:00";"20";"Brève : MANIFESTATIONS HIER PARIS ET PROVINCE";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028510_001_004";"France 2";"2013-06-07T06:33:57+01:00";"61";"GAZ DE SCHISTE/EXPLOITATION RAISONNÉE (rapport interministériel)";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)|Vion, Frédéric (Journaliste)"
"5028510_001_005";"France 2";"2013-06-07T06:34:58+01:00";"28";"Brève : HOLLANDE AU JAPON/AVEC LE 1ER MINISTRE";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028510_001_006";"France 2";"2013-06-07T06:35:26+01:00";"29";"Brève : NEW OFF/PAVILLON BLEU DECERNéS aujourd'hui";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028510_001_007";"France 2";"2013-06-07T06:35:55+01:00";"20";"Brève : ROLAND GARROS/TSONGA";"6h30 le journal : [émission du 7 juin 2013]";"6h30 le journal";"Télématin";"";"";"Gastrin, Sophie (Présentateur)"
"5028509_001_003";"France 2";"2013-06-07T06:36:26+01:00";"36";"[Plateau : 2ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_004";"France 2";"2013-06-07T06:37:02+01:00";"306";"Tendances";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_005";"France 2";"2013-06-07T06:42:08+01:00";"6";"[Plateau : 3ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_006";"France 2";"2013-06-07T06:42:14+01:00";"312";"Sports";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_007";"France 2";"2013-06-07T06:47:26+01:00";"11";"[Plateau : 4ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_008";"France 2";"2013-06-07T06:47:37+01:00";"321";"Nouveau";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_009";"France 2";"2013-06-07T06:52:58+01:00";"15";"[Plateau : 5ème partie]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028509_001_054";"France 2";"2013-06-07T06:53:13+01:00";"140";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"Télématin : [programme du 07 juin 2013]";"";"Télématin";"";"";""
"5028511_001_001";"France 2";"2013-06-07T06:53:13+01:00";"38";"Bande annonce émission : TANGO";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
"5028511_001_002";"France 2";"2013-06-07T06:53:51+01:00";"72";"Pub 2 07h04";"[Interprogrammes F2 de 6 heures : programme du 7 juin 2013]";"";"[Interprogrammes F2 de 6 heures]";"";"";""
