Identifiant;Chaine;startDate;DureeSecondes;TitreSujet;TitreEmission;TitreCollection;TitreTrancheHoraire;Chapeau;Descripteurs;Generique
"5671706_001_001";"France Culture";"2013-06-07T01:31:00+01:00";"3601";"Les nouveaux chemins de la connaissance : Le sexe sous tous ses rapports : Pierre Louÿs";"Les nuits de France Culture : émission du 07 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671706_001_002";"France Culture";"2013-06-07T02:31:00+01:00";"9001";"Colloque à cerisy-la-salle sur l'astronomie : 4ème partie";"Les nuits de France Culture : émission du 07 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671706_001_003";"France Culture";"2013-06-07T05:02:00+01:00";"3387";"Le corps : le troisième sexe";"Les nuits de France Culture : émission du 07 juin 2013";"";"Les nuits de France Culture";"";"";""
"5671712_001_001";"France Culture";"2013-06-07T06:30:30+01:00";"300";"Journal 06h30";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_002";"France Culture";"2013-06-07T06:35:00+01:00";"423";"L'essai et la revue du jour";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_003";"France Culture";"2013-06-07T06:42:00+01:00";"172";"La chronique de Jean Louis Ezine";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_004";"France Culture";"2013-06-07T06:45:00+01:00";"788";"Les enjeux internationaux";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_005";"France Culture";"2013-06-07T07:00:00+01:00";"768";"Journal 07h00";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_006";"France Culture";"2013-06-07T07:12:00+01:00";"190";"Pixel";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_007";"France Culture";"2013-06-07T07:17:00+01:00";"460";"Le monde selon";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_008";"France Culture";"2013-06-07T07:30:00+01:00";"245";"Le choix de la rédaction";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_009";"France Culture";"2013-06-07T07:36:00+01:00";"167";"Le billet politique d'Hubert Huertas";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_010";"France Culture";"2013-06-07T07:38:00+01:00";"282";"Les idées claires";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_011";"France Culture";"2013-06-07T07:41:00+01:00";"769";"L'invité des matins";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_012";"France Culture";"2013-06-07T07:56:00+01:00";"196";"La chronique de Philippe Meyer";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
"5671712_001_013";"France Culture";"2013-06-07T08:00:00+01:00";"920";"Journal 08h00";"Gaël Brustier, Béatrice Giblin, Eric Dupin";"";"Les matins de France Culture";"";"";""
